#Firmware: MS3 1.4.0 release     20150709 19:51BST (c) JSM/KC ********
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
1.0,0.0,0.0,1.0,741.852,741.852
0.0,0.0,0.0,1.0,0.707,742.55896
1.0,0.0,0.0,1.0,13.114,755.673
0.0,0.0,0.0,1.0,0.714,756.38696
0.0,0.0,1.0,1.0,7.487,763.87396
0.0,0.0,1.0,1.0,8.015,771.889
1.0,0.0,0.0,1.0,5.713,777.602
0.0,0.0,0.0,1.0,0.721,778.323
1.0,0.0,0.0,1.0,13.3,791.623
0.0,0.0,0.0,1.0,0.74,792.363
1.0,0.0,0.0,1.0,21.479,813.842
0.0,0.0,0.0,1.0,0.713,814.555
1.0,0.0,0.0,1.0,13.375,827.93
0.0,0.0,0.0,1.0,0.735,828.665
0.0,0.0,1.0,1.0,11.819,840.484
1.0,0.0,0.0,1.0,9.755,850.239
0.0,0.0,0.0,1.0,0.733,850.972
1.0,0.0,0.0,1.0,13.472,864.444
0.0,0.0,0.0,1.0,0.744,865.188
1.0,0.0,0.0,1.0,21.547,886.735
0.0,0.0,0.0,1.0,0.729,887.464
1.0,0.0,0.0,1.0,13.36,900.824
0.0,0.0,0.0,1.0,0.723,901.547
0.0,0.0,1.0,1.0,7.647,909.194
0.0,0.0,1.0,1.0,8.083,917.277
1.0,0.0,0.0,1.0,5.767,923.044
0.0,0.0,0.0,1.0,0.719,923.763
1.0,0.0,0.0,1.0,13.389,937.152
0.0,0.0,0.0,1.0,0.729,937.881
1.0,0.0,0.0,1.0,21.719,959.6
0.0,0.0,0.0,1.0,0.722,960.32196
1.0,0.0,0.0,1.0,13.614,973.936
0.0,0.0,0.0,1.0,0.732,974.66797
0.0,0.0,1.0,1.0,11.964,986.63196
1.0,0.0,0.0,1.0,9.782,996.41394
0.0,0.0,0.0,1.0,0.735,997.1489
1.0,0.0,0.0,1.0,13.509,1010.6579
0.0,0.0,0.0,1.0,0.74,1011.3979
1.0,0.0,0.0,1.0,21.824,1033.2219
0.0,0.0,0.0,1.0,0.728,1033.95
1.0,0.0,0.0,1.0,13.585,1047.5349
0.0,0.0,0.0,1.0,0.749,1048.2839
0.0,0.0,1.0,1.0,7.781,1056.065
0.0,0.0,1.0,1.0,8.17,1064.235
1.0,0.0,0.0,1.0,5.773,1070.0079
0.0,0.0,0.0,1.0,0.726,1070.7339
1.0,0.0,0.0,1.0,13.469,1084.2029
0.0,0.0,0.0,1.0,0.74,1084.9429
1.0,0.0,0.0,1.0,21.741,1106.6838
0.0,0.0,0.0,1.0,0.734,1107.4178
1.0,0.0,0.0,1.0,13.543,1120.9608
0.0,0.0,0.0,1.0,0.738,1121.6989
0.0,0.0,1.0,1.0,11.914,1133.6128
1.0,0.0,0.0,1.0,9.759,1143.3718
0.0,0.0,0.0,1.0,0.717,1144.0889
1.0,0.0,0.0,1.0,13.452,1157.5409
0.0,0.0,0.0,1.0,0.736,1158.2769
1.0,0.0,0.0,1.0,21.693,1179.9698
0.0,0.0,0.0,1.0,0.728,1180.6979
1.0,0.0,0.0,1.0,13.508,1194.2059
0.0,0.0,0.0,1.0,0.734,1194.94
0.0,0.0,1.0,1.0,7.736,1202.6759
0.0,0.0,1.0,1.0,8.186,1210.8619
1.0,0.0,0.0,1.0,5.81,1216.672
0.0,0.0,0.0,1.0,0.72,1217.392
1.0,0.0,0.0,1.0,13.511,1230.903
0.0,0.0,0.0,1.0,0.741,1231.6439
1.0,0.0,0.0,1.0,21.78,1253.424
0.0,0.0,0.0,1.0,0.734,1254.158
1.0,0.0,0.0,1.0,13.578,1267.736
0.0,0.0,0.0,1.0,0.738,1268.474
0.0,0.0,1.0,1.0,11.998,1280.472
1.0,0.0,0.0,1.0,9.824,1290.296
0.0,0.0,0.0,1.0,0.737,1291.0331
1.0,0.0,0.0,1.0,13.571,1304.6041
0.0,0.0,0.0,1.0,0.746,1305.3501
1.0,0.0,0.0,1.0,21.789,1327.139
0.0,0.0,0.0,1.0,0.718,1327.857
1.0,0.0,0.0,1.0,13.475,1341.332
0.0,0.0,0.0,1.0,0.741,1342.073
0.0,0.0,1.0,1.0,7.726,1349.799
0.0,0.0,1.0,1.0,8.135,1357.934
1.0,0.0,0.0,1.0,5.737,1363.671
0.0,0.0,0.0,1.0,0.716,1364.387
1.0,0.0,0.0,1.0,13.4,1377.787
0.0,0.0,0.0,1.0,0.725,1378.512
1.0,0.0,0.0,1.0,21.355,1399.867
0.0,0.0,0.0,1.0,0.728,1400.595
1.0,0.0,0.0,1.0,13.245,1413.84
0.0,0.0,0.0,1.0,0.711,1414.551
0.0,0.0,1.0,1.0,11.681,1426.232
1.0,0.0,0.0,1.0,9.622,1435.854
0.0,0.0,0.0,1.0,0.711,1436.5651
1.0,0.0,0.0,1.0,13.254,1449.8191
0.0,0.0,0.0,1.0,0.732,1450.5511
1.0,0.0,0.0,1.0,21.322,1471.8732
0.0,0.0,0.0,1.0,0.709,1472.5822
1.0,0.0,0.0,1.0,13.221,1485.8031
0.0,0.0,0.0,1.0,0.72,1486.5231
0.0,0.0,1.0,1.0,7.581,1494.1041
0.0,0.0,1.0,1.0,8.085,1502.1891
1.0,0.0,0.0,1.0,5.737,1507.9261
0.0,0.0,0.0,1.0,0.716,1508.6421
1.0,0.0,0.0,1.0,13.39,1522.0321
0.0,0.0,0.0,1.0,0.728,1522.7601
1.0,0.0,0.0,1.0,21.661,1544.4211
0.0,0.0,0.0,1.0,0.725,1545.1461
1.0,0.0,0.0,1.0,13.556,1558.7021
0.0,0.0,0.0,1.0,0.747,1559.4491
0.0,0.0,1.0,1.0,11.934,1571.383
1.0,0.0,0.0,1.0,9.717,1581.1001
0.0,0.0,0.0,1.0,0.725,1581.8251
1.0,0.0,0.0,1.0,13.429,1595.254
0.0,0.0,0.0,1.0,0.732,1595.9861
1.0,0.0,0.0,1.0,21.579,1617.5651
0.0,0.0,0.0,1.0,0.712,1618.2771
1.0,0.0,0.0,1.0,13.362,1631.6392
0.0,0.0,0.0,1.0,0.74,1632.3792
0.0,0.0,1.0,1.0,7.658,1640.0371
0.0,0.0,1.0,1.0,8.084,1648.1211
1.0,0.0,0.0,1.0,5.72,1653.8411
0.0,0.0,0.0,1.0,0.719,1654.56
1.0,0.0,0.0,1.0,13.332,1667.8921
0.0,0.0,0.0,1.0,0.722,1668.6141
1.0,0.0,0.0,1.0,21.429,1690.0431
0.0,0.0,0.0,1.0,0.722,1690.7651
1.0,0.0,0.0,1.0,13.292,1704.0571
0.0,0.0,0.0,1.0,0.737,1704.7942
0.0,0.0,1.0,1.0,11.724,1716.5182
1.0,0.0,0.0,1.0,9.699,1726.2172
0.0,0.0,0.0,1.0,0.712,1726.9292
1.0,0.0,0.0,1.0,13.328,1740.2572
0.0,0.0,0.0,1.0,0.725,1740.9822
1.0,0.0,0.0,1.0,21.286,1762.2682
0.0,0.0,0.0,1.0,0.705,1762.9731
1.0,0.0,0.0,1.0,13.166,1776.1392
0.0,0.0,0.0,1.0,0.711,1776.8502
0.0,0.0,1.0,1.0,7.556,1784.4062
0.0,0.0,1.0,1.0,7.937,1792.3433
1.0,0.0,0.0,1.0,5.636,1797.9792
0.0,0.0,0.0,1.0,0.714,1798.6932
1.0,0.0,0.0,1.0,13.133,1811.8263
0.0,0.0,0.0,1.0,0.713,1812.5393
1.0,0.0,0.0,1.0,21.17,1833.7094
0.0,0.0,0.0,1.0,0.715,1834.4243
1.0,0.0,0.0,1.0,13.172,1847.5963
0.0,0.0,0.0,1.0,0.729,1848.3253
0.0,0.0,1.0,1.0,11.604,1859.9293
1.0,0.0,0.0,1.0,9.491,1869.4203
0.0,0.0,0.0,1.0,0.707,1870.1273
1.0,0.0,0.0,1.0,13.08,1883.2073
0.0,0.0,0.0,1.0,0.719,1883.9263
1.0,0.0,0.0,1.0,20.948,1904.8743
0.0,0.0,0.0,1.0,0.7,1905.5742
1.0,0.0,0.0,1.0,12.967,1918.5413
0.0,0.0,0.0,1.0,0.706,1919.2473
0.0,0.0,1.0,1.0,7.42,1926.6674
0.0,0.0,1.0,1.0,7.884,1934.5514
1.0,0.0,0.0,1.0,5.581,1940.1324
0.0,0.0,0.0,1.0,0.704,1940.8364
1.0,0.0,0.0,1.0,13.009,1953.8455
0.0,0.0,0.0,1.0,0.701,1954.5465
1.0,0.0,0.0,1.0,21.039,1975.5854
0.0,0.0,0.0,1.0,0.708,1976.2935
1.0,0.0,0.0,1.0,13.162,1989.4554
0.0,0.0,0.0,1.0,0.73,1990.1854
0.0,0.0,1.0,1.0,11.597,2001.7825
1.0,0.0,0.0,1.0,9.498,2011.2805
0.0,0.0,0.0,1.0,0.703,2011.9835
1.0,0.0,0.0,1.0,13.106,2025.0895
0.0,0.0,0.0,1.0,0.71,2025.7994
1.0,0.0,0.0,1.0,21.011,2046.8104
0.0,0.0,0.0,1.0,0.711,2047.5215
1.0,0.0,0.0,1.0,13.032,2060.5535
0.0,0.0,0.0,1.0,0.703,2061.2563
0.0,0.0,1.0,1.0,7.459,2068.7153
0.0,0.0,1.0,1.0,7.883,2076.5984
1.0,0.0,0.0,1.0,5.591,2082.1895
0.0,0.0,0.0,1.0,0.707,2082.8965
1.0,0.0,0.0,1.0,13.015,2095.9114
0.0,0.0,0.0,1.0,0.705,2096.6165
1.0,0.0,0.0,1.0,20.793,2117.4094
0.0,0.0,0.0,1.0,0.689,2118.0984
1.0,0.0,0.0,1.0,12.867,2130.9653
0.0,0.0,0.0,1.0,0.717,2131.6824
0.0,0.0,1.0,1.0,11.327,2143.0093
1.0,0.0,0.0,1.0,9.357,2152.3662
0.0,0.0,0.0,1.0,0.687,2153.0532
1.0,0.0,0.0,1.0,12.85,2165.9033
0.0,0.0,0.0,1.0,0.695,2166.5984
1.0,0.0,0.0,1.0,20.611,2187.2095
0.0,0.0,0.0,1.0,0.692,2187.9014
1.0,0.0,0.0,1.0,12.785,2200.6863
0.0,0.0,0.0,1.0,0.702,2201.3882
0.0,0.0,1.0,1.0,7.309,2208.6973
0.0,0.0,1.0,1.0,7.805,2216.5022
1.0,0.0,0.0,1.0,5.498,2222.0002
0.0,0.0,0.0,1.0,0.685,2222.6853
1.0,0.0,0.0,1.0,12.796,2235.4812
0.0,0.0,0.0,1.0,0.716,2236.1973
1.0,0.0,0.0,1.0,20.689,2256.8862
0.0,0.0,0.0,1.0,0.701,2257.5872
1.0,0.0,0.0,1.0,12.904,2270.4912
0.0,0.0,0.0,1.0,0.712,2271.2031
0.0,0.0,1.0,1.0,11.356,2282.559
1.0,0.0,0.0,1.0,9.296,2291.855
0.0,0.0,0.0,1.0,0.688,2292.543
1.0,0.0,0.0,1.0,12.832,2305.375
0.0,0.0,0.0,1.0,0.689,2306.064
1.0,0.0,0.0,1.0,20.561,2326.625
0.0,0.0,0.0,1.0,0.696,2327.321
1.0,0.0,0.0,1.0,12.768,2340.089
0.0,0.0,0.0,1.0,0.688,2340.777
0.0,0.0,1.0,1.0,7.289,2348.0662
0.0,0.0,1.0,1.0,7.722,2355.788
1.0,0.0,0.0,1.0,5.504,2361.292
0.0,0.0,0.0,1.0,0.682,2361.9739
1.0,0.0,0.0,1.0,12.742,2374.7158
